group,variant,path,observation_mode,reliability_mode,relation_encoding_mode,rank_readout,ablate_rnn,ablate_plasticity,ablate_subject_latent,ablate_item_vectors,ablate_resource,overall_accuracy,learned_pairs_accuracy,nonlearned_pairs_accuracy,consistent_error_subjects_80pct_ratio,consistent_error_subjects_100pct_ratio,mean_self_consistency_from_majority_choices,mean_circular_triads_from_majority_choices,mean_inter_subject_kendall_tau,correct_ranking_subjects,self_consistent_incorrect_subjects,self_inconsistent_subjects,mean_posterior_entropy,mean_hebb_gate,mean_edge_strength,edge_recon_loss,learned_likelihood_sigma,learned_order_bonus,learned_global_precision,beta_bimodal_pairs,beta_high_accuracy_pairs
general800,general_aux_constant,aux_general800_final/general_aux_constant,distance,constant,rnn,commit,False,False,False,False,False,0.6272263526916504,0.7836039066314697,0.5646753311157227,1.0,1.0,1.0,0.0,0.18879992188262865,0,77,0,4.257187843322754,0.5596925020217896,0.5,11.742084503173828,2.0044775009155273,1.4449559450149536,0.9942889213562012,27,1
general800,general_aux_no_rnn,aux_general800_final/general_aux_no_rnn,distance,rnn,rnn,commit,True,False,False,False,False,0.6790816187858582,0.8698052763938904,0.6027922630310059,1.0,1.0,1.0,0.0,0.4266673176447613,0,77,0,5.408803939819336,0.0,0.3294747769832611,10.652875900268555,2.0044775009155273,1.4449559450149536,0.9942889213562012,24,4
general800,general_aux_posterior_mean,aux_general800_final/general_aux_posterior_mean,distance,rnn,rnn,posterior_mean,False,False,False,False,False,0.6218923926353455,0.768831193447113,0.5631168484687805,0.948051948051948,0.6103896103896104,0.8798701298701299,2.4025974025974026,0.17293233082706766,0,21,56,5.668306827545166,0.5611745119094849,0.30748772621154785,11.66390609741211,2.0044775009155273,1.4449559450149536,0.9942889213562012,14,9
general800,general_aux_rnn,aux_general800_final/general_aux_rnn,distance,rnn,rnn,commit,False,False,False,False,False,0.63246750831604,0.7676948308944702,0.5783766508102417,1.0,1.0,1.0,0.0,0.17293233082706766,0,77,0,5.668306827545166,0.5611745119094849,0.30748772621154785,11.66390609741211,2.0044775009155273,1.4449559450149536,0.9942889213562012,28,0
large1800_default,distance_aux_constant_reliability,aux_runs_1800/distance_aux_constant_reliability,distance,constant,rnn,commit,False,False,False,False,False,0.5827922224998474,0.7189934849739075,0.5283117294311523,1.0,1.0,1.0,0.0,0.2672102333756469,0,77,0,4.962794303894043,0.47901180386543274,0.5,13.650511741638184,2.0170347690582275,1.4220713376998901,0.9751808643341064,26,2
large1800_default,distance_aux_no_plasticity,aux_runs_1800/distance_aux_no_plasticity,distance,rnn,rnn,commit,False,True,False,False,False,0.5384972095489502,0.5915584564208984,0.5172727108001709,1.0,1.0,1.0,0.0,0.10355434039644566,0,77,0,7.227938652038574,0.4741377830505371,0.22051192820072174,14.167596817016602,2.0170347690582275,1.4220713376998901,0.9751808643341064,28,0
large1800_default,distance_aux_no_rnn,aux_runs_1800/distance_aux_no_rnn,distance,rnn,rnn,commit,True,False,False,False,False,0.5355750918388367,0.6084415316581726,0.506428599357605,1.0,1.0,1.0,0.0,0.16311883605116687,0,77,0,5.685057640075684,0.0,0.30629193782806396,14.869729995727539,2.0170347690582275,1.4220713376998901,0.9751808643341064,28,0
large1800_default,distance_aux_rnn,aux_runs_1800/distance_aux_rnn,distance,rnn,rnn,commit,False,False,False,False,False,0.5475417375564575,0.6254870295524597,0.5163636207580566,1.0,1.0,1.0,0.0,0.06088272629626013,0,77,0,7.622310638427734,0.4819183349609375,0.20011526346206665,13.888835906982422,2.0170347690582275,1.4220713376998901,0.9751808643341064,28,0
large1800_strong,distance_aux_strong_constant,aux_runs_strong/distance_aux_strong_constant,distance,constant,rnn,commit,False,False,False,False,False,0.5936920046806335,0.5827922224998474,0.5980519652366638,1.0,1.0,1.0,0.0,0.5933502587637927,0,77,0,3.789289712905884,0.5378203392028809,0.5,14.205368995666504,2.009220600128174,1.4356296062469482,0.9869919419288635,22,5
large1800_strong,distance_aux_strong_no_rnn,aux_runs_strong/distance_aux_strong_no_rnn,distance,rnn,rnn,commit,True,False,False,False,False,0.6493970155715942,0.7120130658149719,0.6243506669998169,1.0,1.0,1.0,0.0,0.4251049702177522,0,77,0,4.94696569442749,0.0,0.3157366216182709,10.807303428649902,2.009220600128174,1.4356296062469482,0.9869919419288635,21,7
large1800_strong,distance_aux_strong_posterior_mean,aux_runs_strong/distance_aux_strong_posterior_mean,distance,rnn,rnn,posterior_mean,False,False,False,False,False,0.5913264751434326,0.5790584683418274,0.5962337851524353,0.974025974025974,0.6883116883116883,0.9181818181818182,1.6363636363636365,0.3350746997363539,0,39,38,6.217117786407471,0.5423592329025269,0.23598605394363403,14.016294479370117,2.009220600128174,1.4356296062469482,0.9869919419288635,1,15
large1800_strong,distance_aux_strong_rnn,aux_runs_strong/distance_aux_strong_rnn,distance,rnn,rnn,commit,False,False,False,False,False,0.5867810845375061,0.5719155669212341,0.5927272439002991,1.0,1.0,1.0,0.0,0.3350746997363539,0,77,0,6.217117786407471,0.5423592329025269,0.23598605394363403,14.016294479370117,2.009220600128174,1.4356296062469482,0.9869919419288635,26,2
raw_general,raw_aux_no_rnn,aux_raw40/raw_aux_no_rnn,raw_bars,rnn,rnn,commit,True,False,False,False,False,0.5270872116088867,0.5246753692626953,0.5280519127845764,1.0,1.0,1.0,0.0,0.35245581486182986,0,77,0,4.723276615142822,0.0,0.3802148699760437,14.177120208740234,2.003298759460449,1.4467190504074097,0.996513843536377,27,1
raw_general,raw_aux_rnn,aux_raw40/raw_aux_rnn,raw_bars,rnn,rnn,commit,False,False,False,False,False,0.5313543677330017,0.531818151473999,0.5311688184738159,1.0,1.0,1.0,0.0,0.1339224685089347,0,77,0,4.6504316329956055,0.4870341718196869,0.3933996856212616,14.41529655456543,2.003298759460449,1.4467190504074097,0.996513843536377,28,0
